MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDF5,F,PR,1,CAS20,96,24,2.7045454545454546,4,0.18460118452426735,44,2.030613029766941
FEDXDF6,F,PR,1,CAS20,149,9.933333333333334,2.632653061,15,0.7198752216282511,49,2.351592390652287
FEDXDF7,F,PR,1,CAS20,141,70.5,2.4555555555555557,2,0.086318515,90,3.8843331894691415
FEDXDF8,F,PR,1,CAS20,100,16.666666666666668,2.5,6,0.26294326025296116,50,2.191193835441343
FEDXDF9,F,PR,1,CAS20,108,54,2.356164383561644,2,0.085553364,73,3.122697782741985
FEDXDF10,F,PR,1,CAS20,72,24,2.657142857142857,3,0.12950261403424623,35,1.5108638303995394
FEDXDF1,F,PR,1,CAS5,65,0,2.306122448979592,0,0,49,2.2148283005838407
FEDXDF2,F,PR,1,CAS5,38,0,2.3214285714285716,0,0,28,1.1778040031314632
FEDXDF3,F,PR,1,CAS5,89,0,2.353846153846154,0,0,65,2.7230833682446587
FEDXDF4,F,PR,1,CAS5,48,0,2.46875,0,0,32,1.372834092046619
FEDXDF5,F,PR,1,CAS5,50,0,2.484848484848485,0,0,33,1.538919906213972
FEDXDF6,F,PR,1,CAS5,45,22.5,2.2142857142857144,2,0.094665843,28,1.3253217981250904
FEDXDF7,F,PR,1,CAS5,62,0,2.1296296296296298,0,0,54,2.4475920679886687
FEDXDF8,F,PR,1,CAS5,68,68,2.4651162790697674,1,0.043793489367913975,43,1.8831200428203008
FEDXDF9,F,PR,1,CAS5,86,0,2.164383561643836,0,0,73,3.1413237069532265
FEDXDF10,F,PR,1,CAS5,77,77,2.4693877551020407,1,0.047681488,49,2.336392895458338
FEDXDF1,F,PR,2,CAS20,188,47,2.4237288135593222,4,0.17953321364452424,118,5.296229802513465
FEDXDF2,F,PR,2,CAS20,112,112,2.289156626506024,1,0.047629128,83,3.9532176121930567
FEDXDF3,F,PR,2,CAS20,129,18.428571428571427,2.5,7,0.3110074419637898,58,2.576918805
FEDXDF4,F,PR,2,CAS20,128,14.222222222222221,2.698113208,9,0.4026295187086031,53,2.3710404990617735
FEDXDF5,F,PR,2,CAS20,114,16.285714285714285,2.8085106382978724,7,0.37083909703623047,47,2.489919651528976
FEDXDF6,F,PR,2,CAS20,216,13.5,2.7125,16,0.7213073696074134,80,3.6065368480370665
FEDXDF7,F,PR,2,CAS20,191,47.75,2.3488372093023258,4,0.16954740262798473,129,5.4679037347525075
FEDXDF8,F,PR,2,CAS20,126,42,2.712121212121212,3,0.1310409260225439,66,2.882900372495966
FEDXDF9,F,PR,2,CAS20,169,42.25,2.2982456140350878,4,0.16843681280119777,114,4.800449164834137
FEDXDF10,F,PR,2,CAS20,96,32,2.5961538461538463,3,0.12978585334198572,52,2.2496214579277525
FEDXDF1,F,PR,2,SUC,3,0,1.6666666666666667,0,0,3,0.14248585036347086
FEDXDF2,F,PR,2,SUC,48,48,2.1621621621621623,1,0.045969379,37,1.7008670335704161
FEDXDF3,F,PR,2,SUC,61,0,2.176470588235294,0,0,51,2.2811137202281118
FEDXDF4,F,PR,2,SUC,43,0,2.076923076923077,0,0,39,1.7423029671270613
FEDXDF5,F,PR,2,SUC,68,68,2.369565217391304,1,0.046153254,46,2.123049704490968
FEDXDF6,F,PR,2,SUC,29,29,2.0434782608695654,1,0.046165683508591945,23,1.0618107206976148
FEDXDF7,F,PR,2,SUC,26,0,2,0,0,25,1.0584748553417698
FEDXDF8,F,PR,2,SUC,57,0,2.2444444444444445,0,0,45,1.9807791064485365
FEDXDF9,F,PR,2,SUC,34,0,2.03125,0,0,32,1.457711190970289
FEDXDF10,F,PR,2,SUC,90,0,2.3692307692307693,0,0,65,2.8343366562094987
FEDXDF1,F,PR,3,CAS5,197,197,2.232258064516129,1,0.044121431985587004,155,6.838821957765985
FEDXDF2,F,PR,3,CAS5,124,124,2.337078651685393,1,0.044539021131291136,89,3.9639728806849113
FEDXDF3,F,PR,3,CAS5,123,30.75,2.492957746478873,4,0.18064127653168752,71,3.2063826584374535
FEDXDF4,F,PR,3,CAS5,144,144,2.393939393939394,1,0.044656148,99,4.420958618636499
FEDXDF5,F,PR,3,CAS5,126,126,2.6805555555555554,1,0.044324604,72,3.1913714771174235
FEDXDF6,F,PR,3,CAS5,205,51.25,2.4803149606299213,4,0.189498618,127,6.0165811290959335
FEDXDF7,F,PR,3,CAS5,173,173,2.174825174825175,1,0.044665567,143,6.387176019553593
FEDXDF8,F,PR,3,CAS5,134,0,2.4,0,0,95,4.746308426779171
FEDXDF9,F,PR,3,CAS5,186,186,2.276595744680851,1,0.04482574,141,6.3204293309758315
FEDXDF10,F,PR,3,CAS5,98,98,2.2916666666666665,1,0.047313637,72,3.406581852591736
FEDXDF1,F,PR,3,SUC,21,0,2.111111111111111,0,0,18,0.8925865726328548
FEDXDF2,F,PR,3,SUC,33,0,2,0,0,32,1.4525097401369294
FEDXDF3,F,PR,3,SUC,36,0,2.0294117647058822,0,0,34,1.5112790310034447
FEDXDF4,F,PR,3,SUC,27,0,2,0,0,26,1.182519929756295
