,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEGA_MEAL_FREQUENCY,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
250,FEDXDM6,M,PR,2.0,CAS20,164,2.45,1.0,40,1.7328311331993598,66,2.859171369778944,0,0.0,0.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
251,FEDXDM7,M,PR,2.0,CAS20,181,2.6285714285714286,1.0,35,1.5231187669990933,89,3.8730734360834087,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,5.0,1.0,0.0,2.0,3.0
252,FEDXDM8,M,PR,2.0,CAS20,193,2.6122448979591835,1.0,49,2.1418944352028366,65,2.8412885364935585,2,10.0,0.08742426266134026,3.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0
253,FEDXDM9,M,PR,2.0,CAS20,213,3.489795918367347,1.0,49,2.138544722740829,42,1.8330383337778533,6,8.666666666666666,0.2618626191111219,0.0,3.0,1.0,1.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,5.0,7.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,5.0
254,FEDXDM10,M,PR,2.0,CAS20,161,3.1463414634146343,1.0,41,1.836734693877551,32,1.4335490293678446,4,10.25,0.17919362867098057,2.0,4.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0
255,FEDXDM1,M,PR,2.0,SUC,62,2.142857142857143,1.0,7,0.32074535110160757,47,2.153575928825079,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
256,FEDXDM2,M,PR,2.0,SUC,25,2.5,1.0,6,0.28707370883283273,10,0.4784561813880545,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,FEDXDM3,M,PR,2.0,SUC,39,2.0,1.0,3,0.1300844344338316,33,1.4309287787721476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
258,FEDXDM4,M,PR,2.0,SUC,48,2.0,1.0,11,0.5034644968533469,26,1.1900069925624563,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
259,FEDXDM5,M,PR,2.0,SUC,49,2.3333333333333335,1.0,15,0.6519534456946926,14,0.6084898826483798,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
260,FEDXDM6,M,PR,2.0,SUC,54,2.3333333333333335,1.0,9,0.4422544054817707,33,1.6215994867664925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
261,FEDXDM7,M,PR,2.0,SUC,48,2.0,1.0,3,0.13167841205589018,42,1.8434977687824623,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
